# sur une boucle de 10 trigonométrique non modifié ==  n ftf - mode inverse - _b_d - _b_d_d
 1000 0.1200070E+00 0.0000000E+00 0.4000008E-02 0.1200099E-01
 1500 0.2760180E+00 0.4000008E-02 0.8001000E-02 0.1600099E-01
 2000 0.4560290E+00 0.4000008E-02 0.7999986E-02 0.2400202E-01
 2500 0.7360460E+00 0.4000008E-02 0.1600099E-01 0.2400202E-01
 3000 0.1084067E+01 0.8001089E-02 0.1600099E-01 0.3200197E-01
 3500 0.1504094E+01 0.8000970E-02 0.1600099E-01 0.4000199E-01
 4000 0.1904119E+01 0.1200080E-01 0.2000117E-01 0.4400301E-01
 4500 0.2296143E+01 0.1200104E-01 0.2000093E-01 0.4800296E-01
 5000 0.2872180E+01 0.1200104E-01 0.2400088E-01 0.5600405E-01
 5500 0.3476218E+01 0.1200104E-01 0.2800083E-01 0.6000400E-01
 6000 0.4076255E+01 0.1199961E-01 0.3200197E-01 0.6400442E-01
 6500 0.4856304E+01 0.1200008E-01 0.3200197E-01 0.7200480E-01
 7000 0.5724358E+01 0.1600075E-01 0.3600216E-01 0.7600498E-01
 7500 0.7000437E+01 0.1200104E-01 0.4000187E-01 0.8000517E-01
 8000 0.7448465E+01 0.1600170E-01 0.4000282E-01 0.8800507E-01
 8500 0.8348521E+01 0.1600170E-01 0.4400158E-01 0.9600639E-01
 9000 0.9676605E+01 0.2000046E-01 0.4400349E-01 0.1000061E+00
 9500 0.1020464E+02 0.2000046E-01 0.4800320E-01 0.1040068E+00
10000 0.1156072E+02 0.2000141E-01 0.4800320E-01 0.1080074E+00
