# n ftf - mode inverse - mode multi directionnel
  500 0.5200300E-01 0.1080070E+00 0.2480150E+00
 1000 0.1000060E+00 0.2120130E+00 0.5040320E+00
 1500 0.1520100E+00 0.3160200E+00 0.7560470E+00
 2000 0.2000130E+00 0.4240260E+00 0.1016064E+01
 2500 0.2440150E+00 0.5240330E+00 0.1264079E+01
 3000 0.2960180E+00 0.6320400E+00 0.1520095E+01
 3500 0.3520220E+00 0.7280460E+00 0.1772110E+01
 4000 0.4000250E+00 0.8360519E+00 0.2032128E+01
 4500 0.4400280E+00 0.9400581E+00 0.2280143E+01
 5000 0.5040311E+00 0.1044065E+01 0.2544159E+01
 5500 0.5520350E+00 0.1152072E+01 0.2768172E+01
 6000 0.5960380E+00 0.1248078E+01 0.3044190E+01
 6500 0.6520410E+00 0.1440090E+01 0.3340208E+01
 7000 0.7040440E+00 0.1460091E+01 0.3544221E+01
 7000 0.7040440E+00 0.1460091E+01 0.3544221E+01
 7000 0.7040440E+00 0.1460091E+01 0.3544221E+01
 7000 0.7040440E+00 0.1460091E+01 0.3544221E+01
 7000 0.7040440E+00 0.1460091E+01 0.3544221E+01
 7000 0.7040440E+00 0.1460091E+01 0.3544221E+01
 7000 0.7040440E+00 0.1460091E+01 0.3544221E+01
